option,MC_price,MC_time,MC_reduced_price,MC_reduced_time,LightGBM_price,LightGBM_time,LightGBM_abs_error,LightGBM_speedup,XGBoost_price,XGBoost_time,XGBoost_abs_error,XGBoost_speedup,CatBoost_price,CatBoost_time,CatBoost_abs_error,CatBoost_speedup
put,6.444560994028293,0.3081350326538086,6.571201261756858,0.022917509078979492,6.497208755907876,0.0009982585906982422,0.052647761879583754,308.6725579173633,6.316591,0.0,0.12797020804806802,inf,6.453376772874621,0.0009999275207519531,0.008815778846328115,308.15736766809727
put,21.01954159275902,0.29479360580444336,21.06112914903071,0.02480006217956543,20.880347998517788,0.0,0.139193594241231,inf,21.230686,0.0,0.21114459498512161,inf,20.69823976399078,0.001001119613647461,0.3213018287682381,294.4639199809478
put,0.49579438333564213,0.27354860305786133,0.4874818976637771,0.0219876766204834,0.5221207750264167,0.0,0.02632639169077461,inf,0.55279434,0.0010001659393310547,0.05699995393700191,273.5032181168057,0.5452828917431296,0.0,0.049488508407487475,inf
call,9.453577764501556,0.2678096294403076,9.439732249419137,0.02301168441772461,9.876763592017996,0.000997781753540039,0.4231858275164395,268.40501792114696,9.229307,0.0,0.22427058981893921,inf,9.413239800841957,0.001001119613647461,0.040337963659599296,267.5101214574899
call,1.6118675582453141,0.27442049980163574,1.694267726473333,0.02455878257751465,1.6330605128014746,0.0,0.021192954556160437,inf,1.5181179,0.0,0.0937496535822282,inf,1.5514764506665255,0.0010004043579101562,0.06039110757878863,274.3095805529075
call,28.14749928317965,0.26630592346191406,27.798186134809193,0.023014307022094727,28.416476653243514,0.0009982585906982422,0.26897737006386535,266.7704800573203,28.747292,0.0,0.5997922817617578,inf,27.960243299737066,0.0010001659393310547,0.18725598344258287,266.2617401668653
digital,0.5008469398643851,0.2642984390258789,0.4983237814771589,0.02301311492919922,0.4951568699862324,0.0,0.005690069878152737,inf,0.49700662,0.0015020370483398438,0.003840314927327615,175.96,0.5013048722330753,0.0,0.0004579323686901837,inf
digital,0.13588885428334463,0.2669377326965332,0.13522219592228552,0.022962570190429688,0.1389387643294093,0.0009996891021728516,0.003049910046064669,267.02074886715957,0.1344651,0.0,0.0014237559023021484,inf,0.13281821358441245,0.0009987354278564453,0.0030706406989321755,267.2757221293865
digital,0.8343505831709583,0.27210235595703125,0.8376984816176913,0.02301168441772461,0.8304988804574926,0.0,0.003851702713465688,inf,0.8319379,0.0010013580322265625,0.0024126740446765993,271.73333333333335,0.8353471964068429,0.00099945068359375,0.0009966132358845137,272.2519083969466
asian,5.284349968724238,0.26508498191833496,5.288071979118232,0.02351212501525879,5.204359351542296,0.0009984970092773438,0.07999061718194245,265.48400191021966,5.0239387,0.0,0.26041131287096686,inf,5.296347575699574,0.0010027885437011719,0.011997606975335806,264.34783642415596
asian,0.18705502549644704,0.27582573890686035,0.1878497746350292,0.023012161254882812,0.2430202057326297,0.0009984970092773438,0.05596518023618266,276.2409264565425,0.22109011,0.0005018711090087891,0.03403508265975719,549.5947743467933,0.21624321326515825,0.0008170604705810547,0.02918818776871121,337.5830172162241
asian,22.81697187268675,0.27123141288757324,22.759071932196182,0.023011207580566406,22.777088721977435,0.0,0.03988315070931492,inf,23.061275,0.0,0.24430360949098429,inf,22.652861547466994,0.0015044212341308594,0.164110325219756,180.28954041204437
